Region,Year,B_predicted
PrÃ¤ttigau/Davos,2047,0.241709
PrÃ¤ttigau/Davos,2048,0.241712
PrÃ¤ttigau/Davos,2049,0.241715
PrÃ¤ttigau/Davos,2050,0.241717
Raron,2019,0.582331
Raron,2020,0.590740
Raron,2021,0.597081
Raron,2022,0.601835
Raron,2023,0.605382
Raron,2024,0.608020
Raron,2025,0.609979
Raron,2026,0.611430
Raron,2027,0.612504
Raron,2028,0.613298
Raron,2029,0.613886
Raron,2030,0.614320
Raron,2031,0.614641
Raron,2032,0.614878
Raron,2033,0.615053
Raron,2034,0.615183
Raron,2035,0.615279
Raron,2036,0.615350
Raron,2037,0.615402
Raron,2038,0.615441
Raron,2039,0.615470
Raron,2040,0.615491
Raron,2041,0.615507
Raron,2042,0.615518
Raron,2043,0.615527
Raron,2044,0.615533
Raron,2045,0.615538
Raron,2046,0.615542
Raron,2047,0.615544
Raron,2048,0.615546
Raron,2049,0.615548
Raron,2050,0.615549
Reiat,2019,0.615067
Reiat,2020,0.631650
Reiat,2021,0.642753
Reiat,2022,0.650090
Reiat,2023,0.654900
Reiat,2024,0.658039
Reiat,2025,0.660083
Reiat,2026,0.661414
Reiat,2027,0.662280
Reiat,2028,0.662844
Reiat,2029,0.663212
Reiat,2030,0.663452
Reiat,2031,0.663610
Reiat,2032,0.663713
Reiat,2033,0.663780
Reiat,2034,0.663825
Reiat,2035,0.663854
Reiat,2036,0.663874
Reiat,2037,0.663886
Reiat,2038,0.663895
Reiat,2039,0.663900
Reiat,2040,0.663904
Reiat,2041,0.663907
Reiat,2042,0.663908
Reiat,2043,0.663909
Reiat,2044,0.663910
Reiat,2045,0.663911
Reiat,2046,0.663911
Reiat,2047,0.663911
Reiat,2048,0.663911
Reiat,2049,0.663912
Reiat,2050,0.663912
Rheinfelden,2019,0.627390
Rheinfelden,2020,0.630560
Rheinfelden,2021,0.632497
Rheinfelden,2022,0.633680
Rheinfelden,2023,0.634403
Rheinfelden,2024,0.634846
